PARTICIPANT_ID,AGE,GENDER,AvgTimeForMontrealMarathon2012,AvgTimeForMontrealMarathon2013,AvgTimeForMontrealMarathon2014,AvgTimeInAllMarathons,AvgTimeInAllEvents,TotalNoOfMarathonEvents,AvgTimeForMontrealMarathon2015
2215,32,1,0,0,0,0,0,1,0
2216,32,1,316,0,0,316,316,1,0
2217,62,1,0,0,0,369,369,1,369
2218,26,1,0,0,79.75,79.75,192.5,2,0
2219,52,1,0,0,0,0,182.75,2,0
2220,27,1,0,0,478,478,478,1,0
2221,47,1,0,57.33,0,57.33,323.5,1,0
2222,35,1,0,110.67,0,110.67,110.67,1,0
2223,29,1,0,0,217,217,374,1,0
2224,27,1,0,0,0,0,648,0,0
2225,21,1,0,0,433,433,433,1,0
2226,47,1,347,0,0,347,347,1,0
2227,28,1,0,23.17,0,23.17,110.17,1,0
2228,32,1,0,0,0,0,452,0,0
2229,42,1,0,0,521,521,521,1,0
2230,32,1,340,0,0,340,340,1,0
2231,42,1,0,0,141.33,141.33,141.33,3,0
2232,27,-1,0,0,0,0,387,0,0
2233,32,-1,0,0,0,359,359,1,359
2234,44,1,201,0,0,401,401,2,0
2235,32,1,0,0,0,320,320,1,320
2236,52,1,0,0,0,322,322,1,322
2237,18,1,0,221.5,0,221.5,369,1,0
2238,37,-1,0,0,0,0,508,0,0
2239,25,1,0,0,0,109.33,259.33,1,109.33
2240,27,1,0,179.5,0,179.5,345.5,1,0
2241,37,-1,0,0,23.6,23.6,86.93,3,0
2242,32,1,0,0,0,0,0,1,0
2243,52,1,0,84.25,89.5,260.5,260.5,3,0
2244,27,-1,0,178.5,0,178.5,178.5,1,0
2245,45,-1,0,0,0,0,435,0,0
2246,21,1,71.25,0,0,71.25,71.25,1,0
2247,21,1,0,305,0,305,305,1,0
2248,27,-1,0,0,0,394,394,1,394
2249,37,1,0,425,0,425,425,1,0
2250,42,-1,0,0,0,431,431,1,431
2251,27,1,0,0,482,482,482,1,0
2252,52,1,327,0,0,327,327,1,0
2253,42,1,0,0,0,307,307,1,307
2254,32,1,274,0,0,274,274,1,0
2255,43,1,0,0,0,53.29,276.14,1,53.29
2256,32,-1,135.33,0,0,135.33,368.33,1,0
2257,33,0,0,169.5,0,169.5,169.5,1,0
2258,42,1,0,0,0,0,409,0,0
2259,33,-1,0,0,0,162.5,313.5,1,162.5
2260,57,1,98.25,0,0,307.75,395.25,3,0
2261,32,-1,0,0,0,452,452,1,452
2262,45,1,0,0,34.7,100.7,128.3,7,0
2263,41,-1,78.4,0,0,78.4,215.8,1,0
2264,32,1,0,0,0,350,350,1,350
2265,47,-1,0,347,0,347,347,1,0
2266,12,1,57.86,0,0,57.86,334.43,1,0
2267,57,-1,0,0,0,641,641,1,641
2268,38,1,0,164.33,0,164.33,284,1,0
2269,52,1,0,0,139,267,267,2,128
2270,22,1,0,0,0,238,426,1,238
2271,33,1,0,0,0,185,323,1,185
2272,37,1,0,0,0,464,464,1,464
2273,47,-1,0,0,453,453,453,1,0
2274,57,1,182.5,166,0,348.5,348.5,2,0
2275,47,1,0,0,0,0,318,0,0
2276,42,1,350,0,0,350,350,1,0
2277,32,1,0,47.5,0,89.83,173.5,3,0
2278,47,1,0,0,0,467,467,1,467
2279,35,1,0,83,0,83,370.8,1,0
2280,33,1,0,0,54.43,54.43,166.71,2,0
2281,44,1,47,0,0,47,283,1,0
2282,34,1,0,0,151.5,290.5,290.5,2,139
2283,21,1,0,0,430,430,430,1,0
2284,26,-1,0,73.5,0,73.5,320,1,0
2285,12,1,0,61.83,0,61.83,293.83,1,0
2286,37,1,0,0,0,318,318,1,318
2287,32,1,0,0,0,553,553,1,553
2288,37,-1,0,206.5,0,206.5,206.5,1,0
2289,35,-1,0,0,0,224,383.5,1,224
2290,21,1,0,0,0,473,473,1,473
2291,32,1,0,0,345,345,345,1,0
2292,38,1,0,0,90.5,90.5,310.5,1,0
2293,25,-1,0,80.75,0,80.75,320.5,1,0
2294,32,1,0,159,0,159,159,1,0
2295,27,1,0,0,250,250,250,1,0
2296,27,-1,0,0,217,217,377.5,1,0
2297,37,-1,0,336,0,336,336,1,0
2298,33,1,0,0,184.5,184.5,184.5,2,0
2299,57,-1,0,0,0,535,535,1,535
2300,47,1,0,0,0,304,304,1,304
2301,23,1,0,0,49.5,49.5,196.5,1,0
2302,16,1,36.88,0,0,36.88,120,1,0
2303,32,1,0,0,0,361,361,1,361
2304,42,1,0,0,0,0,260,0,0
2305,27,-1,0,0,0,419,419,1,419
2306,26,0,0,0,0,0,484.5,0,0
2307,42,1,0,0,360,360,360,1,0
2308,62,1,0,0,0,366,366,1,366
2309,42,1,0,0,0,533,533,1,533
2310,42,-1,0,0,0,457,457,1,457
2311,27,1,339,0,0,339,339,1,0
2312,27,1,336,0,0,336,336,1,0
2313,43,-1,0,0,0,0,415.5,0,0
2314,39,1,0,0,0,124.5,378.75,1,124.5
2315,6,1,0,0,0,0,0,0,0
2316,42,1,187.5,0,0,187.5,394,1,0
2317,42,1,0,0,315,315,315,1,0
2318,42,-1,184.5,0,0,184.5,583,1,0
2319,33,-1,0,0,110.75,110.75,193,1,0
2320,42,1,0,0,0,441,441,1,441
2321,21,-1,392,0,0,392,392,1,0
2322,42,1,321,0,0,321,321,1,0
2323,42,-1,0,0,0,411,411,1,411
2324,42,1,0,0,0,0,487,0,0
2325,27,-1,394,0,0,394,394,1,0
2326,21,1,116.33,0,137.33,379.67,379.67,3,0
2327,62,1,0,0,0,483,483,1,483
2328,32,1,0,0,0,0,193,0,0
2329,34,1,0,0,51.33,51.33,148.83,2,0
2330,27,-1,0,0,229.5,229.5,405,1,0
2331,52,-1,176,0,0,176,344,1,0
2332,43,1,0,0,0,0,288.5,0,0
2333,37,-1,0,0,0,413,413,1,413
2334,42,1,0,93.25,109.5,202.75,202.75,2,0
2335,32,1,0,0,0,289,289,1,289
2336,57,1,358,0,0,358,358,1,0
2337,36,1,0,18.4,0,36.27,198.8,4,0
2338,28,-1,0,71.6,0,71.6,200.6,1,0
2339,37,-1,0,0,0,0,433,0,0
2340,33,1,20.29,0,0,41.14,224.93,4,0
2341,25,1,0,0,0,0,364,0,0
2342,33,-1,0,0,0,0,504,0,0
2343,39,1,0,0,203.5,379,379,2,175.5
2344,32,1,0,0,153,153,153,1,0
2345,27,-1,0,0,0,0,315,0,0
2346,42,1,0,0,0,300,300,1,300
2347,37,1,0,0,0,273,273,1,273
2348,34,1,176,0,0,176,319,1,0
2349,41,1,0,22.62,0,22.62,157.46,2,0
2350,27,1,0,0,0,0,491,0,0
2351,52,-1,0,0,475,475,475,1,0
2352,57,1,0,0,0,346,346,1,346
2353,57,1,0,0,0,0,60.5,0,0
2354,40,1,0,0,0,91,178.67,1,91
2355,52,1,0,0,0,161.5,303,1,161.5
2356,34,1,48.86,55.86,57.57,162.29,208.43,4,0
2357,33,-1,0,167.5,0,167.5,315.5,1,0
2358,27,-1,397,0,0,397,397,1,0
2359,47,1,0,0,0,335,335,1,335
2360,27,1,0,0,0,0,433,0,0
2361,37,1,390,0,0,390,390,1,0
2362,52,1,0,0,0,0,387,0,0
2363,27,1,0,300,0,300,300,1,0
2364,59,1,0,0,34.82,34.82,248,2,0
2365,40,-1,85.75,83,87.5,256.25,256.25,4,0
2366,42,1,0,75,0,75,263.83,2,0
2367,42,-1,0,0,0,0,288,0,0
2368,53,1,0,0,0,157.5,448.5,1,0
2369,42,-1,0,0,487,487,487,1,0
2370,45,1,0,0,227,227,227,1,0
2371,47,1,0,0,0,0,356,0,0
2372,21,-1,0,0,0,518,518,1,518
2373,42,1,0,0,0,493,493,1,493
2374,57,-1,165.5,0,0,165.5,319.5,1,0
2375,36,1,95,0,0,95,203.33,2,0
2376,52,1,0,0,0,327,327,1,327
2377,33,-1,0,0,0,139,139,1,139
2378,37,1,150,0,194,344,344,2,0
2379,37,-1,0,0,0,458,458,1,458
2380,35,1,0,0,0,130,358.33,1,130
2381,42,-1,0,0,527,527,527,1,0
2382,47,-1,0,0,407,407,407,1,0
2383,55,-1,0,93,0,93,325.8,1,0
2384,43,-1,0,0,0,246.5,425,1,246.5
2385,37,1,0,0,0,278,278,1,278
2386,27,-1,0,0,0,0,380,0,0
2387,37,-1,0,0,0,0,375.33,0,0
2388,44,-1,59.8,59.6,0,119.4,286.4,2,0
2389,21,1,0,0,276,276,276,1,0
2390,32,1,0,0,0,392,392,1,392
2391,42,1,272,0,0,272,272,1,0
2392,42,1,0,0,0,0,275,0,0
2393,37,1,0,0,394,394,394,1,0
2394,47,-1,0,0,0,200,402,1,200
2395,47,1,0,0,0,365,365,1,365
2396,35,1,0,0,0,0,422.67,0,0
2397,42,1,0,0,0,279,279,1,279
2398,47,1,0,0,0,340,340,1,340
2399,53,1,31,28.38,0,59.38,326.08,2,0
2400,45,1,0,0,0,81.75,81.75,1,81.75
2401,57,1,0,354,0,354,354,1,0
2402,42,1,0,0,0,16.87,78.87,1,0
2403,21,1,0,0,0,345,345,1,345
2404,27,1,0,0,440,440,440,1,0
2405,50,-1,10.5,0,0,10.5,274,1,0
2406,74,1,0,0,0,373,373,1,373
2407,37,1,0,0,0,410,410,1,410
2408,32,1,0,0,0,454,454,1,454
2409,55,1,0,0,0,180.14,334,3,72.43
2410,36,1,0,0,0,0,183,0,0
2411,37,-1,0,398,0,398,398,1,0
2412,27,1,0,57.17,0,57.17,57.17,1,0
2413,32,1,0,0,402,402,402,1,0
2414,27,1,320,0,0,320,320,1,0
2415,38,1,0,86.75,0,165,312.75,2,0
2416,17,1,0,0,129.67,129.67,217.67,1,0
2417,27,1,0,0,0,0,306,0,0
2418,32,1,0,0,0,165,316,1,165
2419,23,0,0,0,0,0,91.33,0,0
2420,42,1,0,0,0,538,538,1,538
2421,42,1,0,0,0,381,381,1,381
2422,37,1,0,0,0,323,323,1,323
2423,35,-1,0,0,227,227,227,1,0
2424,26,0,0,0,0,0,423,0,0
2425,37,-1,0,0,0,0,350,0,0
2426,57,1,0,0,0,0,527,0,0
2427,35,1,67,0,0,67,187.67,1,0
2428,34,1,0,23.38,23.44,66.06,277.06,3,0
2429,57,1,0,0,0,0,337,0,0
2430,32,1,0,0,0,249,249,1,249
2431,47,-1,0,0,465,465,465,1,0
2432,32,1,0,0,0,375,375,1,375
2433,27,-1,0,230,0,230,423.5,1,0
2434,37,1,0,0,0,595,595,1,595
2435,44,1,0,0,15.84,15.84,169.38,1,0
2436,36,1,0,0,107.5,107.5,320,1,0
2437,21,-1,0,0,217.5,217.5,387,1,0
2438,52,1,0,195,0,424.5,424.5,2,229.5
2439,32,1,340,0,0,340,340,1,0
2440,34,-1,0,28,0,28,265,2,0
2441,47,-1,402,0,0,402,402,1,0
2442,42,1,0,83.4,0,83.4,344.4,1,0
2443,32,1,0,0,0,0,0,1,0
2444,43,1,0,0,0,0,392,0,0
2445,33,1,0,116.5,0,116.5,203,1,0
2446,48,1,38.57,0,0,38.57,38.57,1,0
2447,32,1,0,320,0,320,320,1,0
2448,53,1,0,0,212,212,356.5,1,0
2449,45,1,0,0,0,218.33,322,2,92
2450,32,1,0,0,0,335,335,1,335
2451,27,1,0,0,0,355,355,1,355
2452,43,-1,0,0,0,67.5,287.83,1,67.5
2453,37,1,0,0,344,344,344,1,0
2454,37,1,0,0,346,346,346,1,0
2455,35,1,0,0,44.38,44.38,122.5,4,0
2456,31,1,0,27.14,27.71,54.86,142.07,3,0
2457,52,1,0,0,277.5,277.5,469.5,1,0
2458,47,-1,0,0,0,460,460,1,460
2459,30,1,0,0,0,149,276,1,149
2460,52,1,0,0,0,315,315,1,315
2461,37,-1,345,0,0,345,345,1,0
2462,37,1,0,0,0,418,418,1,418
2463,21,-1,0,0,525,525,525,1,0
2464,22,1,0,172.33,165,337.33,439,2,0
2465,21,1,334,0,0,334,334,1,0
2466,49,-1,0,27.64,27.93,55.57,290.07,2,0
2467,27,1,0,397,0,397,397,1,0
2468,32,1,0,336,0,336,336,1,0
2469,32,1,0,0,0,409,409,1,409
2470,35,-1,0,134.67,0,134.67,253,1,0
2471,32,1,0,0,566,566,566,1,0
2472,62,1,0,0,446,446,446,1,0
2473,30,1,0,0,0,243.5,407,1,243.5
2474,43,1,0,0,0,389,389,2,223.5
2475,33,-1,201.5,0,0,201.5,201.5,1,0
2476,19,1,0,114,0,114,311.67,1,0
2477,21,1,386,0,0,386,386,1,0
2478,57,1,0,326,0,326,326,1,0
2479,35,1,0,0,0,136.33,372.67,1,136.33
2480,57,-1,0,0,0,471,471,1,471
2481,47,-1,0,0,0,0,657,0,0
2482,34,1,0,52,0,156,349.43,3,53.14
2483,29,1,0,0,0,158,422,1,158
2484,37,1,0,0,0,511,511,1,511
2485,42,1,0,0,0,456,456,1,456
2486,27,-1,380,0,0,380,380,1,0
2487,63,1,0,0,0,280,472.5,1,280
2488,21,1,0,159,0,159,293,1,0
2489,47,1,0,0,0,0,427,0,0
2490,47,1,365,0,0,365,365,1,0
2491,23,1,74.5,0,0,74.5,74.5,1,0
2492,37,-1,0,0,0,378,378,1,378
2493,37,1,0,0,0,295,295,1,295
2494,21,1,0,0,303,303,303,1,0
2495,31,-1,0,0,60.67,60.67,120.5,1,0
2496,37,1,0,0,460,460,460,1,0
2497,37,1,0,0,224,224,478,1,0
2498,48,1,0,0,0,111.67,306.67,1,111.67
2499,37,1,0,0,0,0,0,1,0
2500,49,1,58.4,0,0,258.4,258.4,5,71
2501,44,1,35,0,0,35,329,1,0
2502,47,-1,186,0,0,186,186,2,0
2503,27,1,0,0,0,347,347,1,347
2504,43,-1,0,0,218,218,218,2,0
2505,43,-1,166,0,0,166,166,1,0
2506,38,1,0,0,6.23,6.23,175.11,1,0
2507,55,1,0,78,0,78,323.25,1,0
2508,55,1,0,0,54.57,313.14,313.14,7,52.71
2509,33,-1,0,0,197.67,197.67,470,1,0
2510,37,1,0,0,0,0,0,1,0
2511,35,-1,0,0,0,62.6,236.2,1,62.6
2512,27,1,0,216,0,216,422,1,0
2513,21,-1,0,0,0,508,508,1,508
2514,37,1,0,0,0,0,341,0,0
2515,37,1,0,311,0,311,311,1,0
2516,41,-1,10.82,9.76,0,20.59,163.35,3,0
2517,27,1,0,191,0,191,410.5,1,0
2518,41,1,53.86,0,0,53.86,92.43,2,0
2519,37,-1,200.5,0,0,200.5,404.5,1,0
2520,27,1,0,0,247,247,247,1,0
2521,33,1,0,34.38,0,67.25,97.5,5,0
2522,32,1,0,0,0,489,489,1,489
2523,33,1,0,0,0,148.5,281.5,1,148.5
2524,62,1,0,0,0,602,602,1,602
2525,27,1,0,0,0,0,292,0,0
2526,21,1,0,560,0,560,560,1,0
2527,40,1,54.33,52.5,54.5,214.83,262.83,4,53.5
2528,22,-1,0,0,0,130.33,355.33,1,130.33
2529,34,1,189.5,0,0,189.5,347,1,0
2530,48,1,28.27,0,0,28.27,134.91,1,0
2531,32,-1,0,0,0,268,268,1,268
2532,32,1,0,0,0,342,342,1,342
2533,32,1,0,330,0,330,330,1,0
2534,42,1,0,0,0,577,577,1,577
2535,47,1,0,0,0,0,384,0,0
2536,47,1,0,0,375,375,375,1,0
2537,42,1,0,139,0,139,265.5,1,0
2538,47,1,0,408,0,408,408,1,0
2539,45,-1,97.33,0,0,199.33,292,2,0
2540,27,1,0,320,0,320,320,1,0
2541,47,1,0,0,539,539,539,1,0
2542,37,1,0,0,371,371,371,1,0
2543,62,1,0,502,0,502,502,1,0
2544,42,1,0,0,0,115.67,405,1,115.67
2545,22,-1,31.27,0,0,31.27,117.45,2,0
2546,37,1,0,0,0,0,323,0,0
2547,42,1,0,0,414,414,414,1,0
2548,27,-1,0,29.92,0,29.92,117.25,5,0
2549,36,-1,0,0,46.7,46.7,270.1,2,0
2550,33,-1,0,0,33.17,33.17,309.92,1,0
2551,32,1,0,0,493,493,493,1,0
2552,45,1,0,0,0,98,273.33,1,98
2553,32,-1,0,0,0,456,456,1,456
2554,27,1,0,113.67,122,235.67,346.67,2,0
2555,32,1,0,0,0,291,291,1,291
2556,62,-1,0,0,478,478,478,1,0
2557,27,1,0,0,0,580,580,1,580
2558,42,1,60,0,0,60,112.17,1,0
2559,57,1,0,0,0,0,291,0,0
2560,37,1,0,0,0,130,401.67,1,130
2561,42,1,0,0,98.25,98.25,267.5,1,0
2562,42,1,0,0,0,406,406,1,406
2563,41,-1,0,0,69.33,69.33,260.67,1,0
2564,26,1,0,150.33,0,150.33,313.33,1,0
2565,42,-1,0,0,0,0,746,0,0
2566,32,1,0,0,392,392,392,1,0
2567,32,-1,0,0,0,0,479,0,0
2568,37,1,0,355,0,355,355,1,0
2569,15,1,0,118.5,0,118.5,370,1,0
2570,27,1,0,0,0,254,254,1,254
2571,21,-1,0,0,0,322,322,1,322
2572,57,1,0,0,343,343,343,1,0
2573,32,-1,408,0,0,408,408,1,0
2574,47,1,0,0,0,376,376,1,376
2575,25,1,0,0,66,66,234.63,1,0
2576,47,1,0,0,0,0,306,0,0
2577,27,1,0,0,451,451,451,1,0
2578,37,1,0,0,440,440,440,1,0
2579,33,-1,0,0,36.08,36.08,292.83,1,0
2580,42,1,365,0,0,365,365,1,0
2581,62,1,0,0,0,0,627,0,0
2582,26,-1,0,0,84.6,84.6,227.4,2,0
2583,32,1,0,0,532,532,532,1,0
2584,32,-1,0,119.67,0,119.67,219.33,2,0
2585,21,-1,0,0,420,420,420,1,0
2586,44,1,0,88.75,117,205.75,371.25,2,0
2587,40,1,0,27.36,26.36,78.73,152.55,4,0
2588,32,-1,0,391,0,391,391,1,0
2589,27,-1,0,0,477,477,477,1,0
2590,42,1,0,0,0,0,334,0,0
2591,32,1,0,0,0,328,328,1,328
2592,43,1,0,0,0,68.83,326.33,1,68.83
2593,42,-1,10,10.24,10.44,40.84,235.04,4,0
2594,37,1,0,0,0,0,0,1,0
2595,32,1,0,0,0,0,146.5,0,0
2596,47,1,0,112.67,0,112.67,341,1,0
2597,32,1,0,341,0,341,341,1,0
2598,47,1,0,0,0,0,344,0,0
2599,32,1,0,0,489,489,489,1,0
2600,27,-1,57.5,0,0,57.5,257.5,1,0
2601,27,-1,399,0,0,399,399,1,0
2602,55,1,78,0,0,78,382.6,1,0
2603,33,1,130.33,0,0,130.33,245.67,2,0
2604,52,1,0,255,0,255,255,1,0
2605,42,1,0,0,0,0,367,0,0
2606,32,1,0,0,0,455,455,1,455
2607,47,1,0,0,0,340,340,1,340
2608,41,1,0,65.6,0,65.6,317,1,0
2609,27,1,0,0,0,429,429,1,429
2610,21,-1,0,0,0,0,447,0,0
2611,37,1,0,0,386,386,386,1,0
2612,33,1,32.78,0,0,97.89,252.67,4,0
2613,37,-1,0,0,0,228,414.5,1,228
2614,44,-1,0,0,16.09,32.95,115.05,3,0
2615,35,-1,0,0,234.5,234.5,422,1,0
2616,43,1,11.4,11.4,12.44,85.84,171.88,8,10.84
2617,32,1,0,405,0,405,405,1,0
2618,47,1,0,0,0,384,384,1,384
2619,22,-1,0,0,114,114,317,1,0
2620,32,1,0,333,0,333,333,1,0
2621,34,1,0,0,0,55,252.8,1,55
2622,24,1,27,0,0,82.31,279.46,4,0
2623,52,1,0,0,501,501,501,1,0
2624,32,-1,0,0,119.67,236.67,236.67,3,0
2625,47,1,0,35.13,0,71.88,182.38,2,0
2626,21,1,0,0,0,368,368,1,368
2627,37,1,124.33,0,0,124.33,124.33,2,0
2628,21,-1,0,0,0,0,0,1,0
2629,32,-1,0,370,0,370,370,1,0
2630,37,-1,0,0,0,388,388,1,388
2631,42,1,0,277,0,277,277,1,0
2632,37,1,0,0,430,430,430,1,0
2633,32,1,308,0,0,308,308,1,0
2634,20,1,0,97.25,0,196.75,344,2,0
2635,42,1,0,338,0,338,338,1,0
2636,27,1,0,0,0,0,269,0,0
2637,47,1,0,0,184,350.5,350.5,2,0
2638,42,1,0,0,0,0,374,0,0
2639,42,-1,0,0,0,0,0,1,0
2640,27,1,0,0,180.5,180.5,320.5,1,0
2641,37,-1,0,0,0,0,397,0,0
2642,57,1,361,0,0,361,361,1,0
2643,57,1,0,0,0,413,413,1,413
2644,26,1,0,59.63,0,126.88,401,3,0
2645,21,1,367,0,0,367,367,1,0
2646,44,1,84.75,0,0,84.75,320.5,1,0
2647,47,-1,0,0,445,445,445,1,0
2648,43,-1,70.5,78.67,0,149.17,279.67,3,0
2649,42,1,0,353,0,353,353,1,0
2650,34,1,0,0,0,0,136,0,0
2651,32,1,0,0,0,274,274,1,274
2652,37,1,0,0,0,575,575,1,575
2653,32,1,0,0,416,416,416,1,0
2654,27,1,0,0,0,478,478,1,478
2655,37,-1,0,0,0,452,452,1,452
2656,52,1,58,0,0,58,285.5,1,0
2657,46,1,0,0,0,0,188.67,1,0
2658,27,-1,0,0,0,362,362,1,362
2659,43,1,0,0,0,201.5,344.5,1,201.5
2660,44,1,0,0,49.63,49.63,322.63,1,0
2661,27,-1,361,0,0,361,361,1,0
2662,21,-1,0,0,0,0,376,1,0
2663,55,1,0,0,158,158,158,1,0
2664,52,1,0,0,0,438,438,1,438
2665,47,1,0,0,0,345,345,1,345
2666,36,1,0,36.13,0,36.13,147.13,3,0
2667,27,1,0,0,0,511,511,1,511
2668,47,1,0,0,0,184.5,184.5,1,184.5
2669,21,1,0,0,534,534,534,1,0
2670,19,1,132.5,0,0,132.5,274,1,0
2671,43,-1,0,0,171,171,304.5,1,0
2672,40,1,0,0,63.71,63.71,371.71,1,0
2673,32,1,311,0,0,311,311,1,0
2674,27,1,0,434,0,434,434,1,0
2675,37,1,0,0,0,388,388,1,388
2676,42,-1,0,0,0,0,0,1,0
2677,41,-1,0,20.12,21.53,41.65,221.06,5,0
2678,45,1,0,0,57.38,57.38,337.75,1,0
2679,35,1,0,0,97.4,199.2,420.4,2,101.8
2680,21,-1,0,0,227,227,394.5,1,0
2681,47,1,0,0,0,0,353,0,0
2682,53,-1,0,62.5,0,62.5,353.67,1,0
2683,45,1,0,34.11,0,34.11,289.33,1,0
2684,44,-1,0,0,34.73,34.73,324.91,2,0
2685,37,1,0,0,0,370,370,1,370
2686,42,1,0,0,0,514,514,1,514
2687,32,1,0,0,0,379,379,1,379
2688,35,1,0,0,34,34,87.5,1,0
2689,48,-1,0,24.43,0,71.86,264.79,3,0
2690,47,1,0,0,50.63,50.63,324.5,1,0
2691,47,1,193,186,0,379,379,2,0
2692,47,1,0,0,0,424,424,1,424
2693,62,1,0,0,413,413,413,1,0
2694,10,0,0,0,0,0,179,0,0
2695,25,1,0,0,200,200,321.5,1,0
2696,42,1,0,358,0,358,358,1,0
2697,21,-1,0,417,0,417,417,1,0
2698,47,1,0,0,0,0,487,0,0
2699,42,-1,0,0,0,274,581,1,274
2700,37,1,0,0,540,540,540,1,0
2701,57,1,0,219,0,468.5,468.5,2,249.5
2702,32,-1,0,376,0,376,376,1,0
2703,37,1,0,0,360,360,360,1,0
2704,27,-1,0,0,0,347,347,1,347
2705,52,1,0,0,0,397,397,1,397
2706,21,1,0,0,294,294,294,1,0
2707,53,1,196,0,0,196,390,1,0
2708,21,1,0,0,137.33,238.67,326.67,2,101.33
2709,42,1,0,0,0,0,300,0,0
2710,29,1,141.5,0,0,141.5,141.5,1,0
2711,37,1,0,0,0,295,295,1,295
2712,37,1,0,0,266.5,266.5,468,1,0
2713,28,1,0,0,0,38.13,223.63,2,38.13
2714,26,1,0,104,139,243,449.75,2,0
2715,19,1,0,0,0,187.5,351.5,1,187.5
2716,27,-1,0,352,0,352,352,1,0
2717,37,1,0,0,488,488,488,1,0
2718,28,-1,0,0,43.38,43.38,153.5,4,0
2719,37,1,0,0,0,0,476,0,0
2720,50,-1,33.33,0,0,33.33,192.67,2,0
2721,28,1,0,0,0,0,124.67,1,0
2722,21,1,0,0,349,349,349,1,0
2723,27,1,0,0,0,339,339,1,339
2724,32,1,0,258,0,258,258,1,0
2725,47,1,0,484,0,484,484,1,0
2726,42,1,0,0,0,0,90.05,0,0
2727,33,-1,0,181,0,181,181,1,0
2728,27,1,336,0,0,336,336,1,0
2729,27,1,0,0,0,326,326,1,326
2730,42,-1,0,0,0,0,429,0,0
2731,42,-1,36.56,38.78,38.67,114,179.89,5,0
2732,52,-1,0,0,0,0,407,0,0
2733,52,1,0,339,0,339,339,1,0
2734,52,-1,0,0,0,0,559,0,0
2735,22,1,62,0,0,62,214.2,1,0
2736,21,-1,0,443,0,443,443,1,0
2737,32,-1,0,0,193.5,193.5,193.5,1,0
2738,42,1,315,0,0,315,315,1,0
2739,32,-1,0,0,0,394,394,1,394
2740,37,-1,0,0,0,211,211,1,211
2741,21,-1,0,0,0,0,505,0,0
2742,37,1,0,0,312,312,312,1,0
2743,27,-1,0,0,0,303.5,303.5,1,303.5
2744,35,1,0,0,0,196.5,336.5,1,196.5
2745,39,1,0,90.5,0,90.5,164.75,3,0
2746,37,1,90.75,0,0,90.75,328.75,1,0
2747,38,1,0,0,0,0,319,0,0
2748,35,1,0,0,0,0,275.5,0,0
2749,35,-1,171,0,0,171,334.5,1,0
2750,29,-1,0,0,80.2,80.2,276,1,0
2751,22,1,0,61.8,0,61.8,171.4,1,0
2752,32,1,0,0,0,204.5,369,1,204.5
2753,32,1,0,0,133.67,133.67,234.33,2,0
2754,47,1,0,0,0,489,489,1,489
2755,9,-1,0,0,0,0,74.6,0,0
2756,47,1,0,0,400,400,400,1,0
2757,45,1,0,0,0,0,236.75,0,0
2758,52,1,318,0,0,318,318,1,0
2759,37,1,362,0,0,362,362,1,0
2760,43,1,44.43,0,0,44.43,240,2,0
2761,53,1,0,0,0,171.5,314,1,171.5
2762,21,1,0,0,0,498,498,1,498
2763,33,1,0,0,76.8,139.8,139.8,2,0
2764,27,-1,0,0,375,375,375,1,0
2765,44,1,0,0,15.39,31.52,119.22,5,0
2766,64,1,98,98,0,196,283,2,0
2767,33,-1,0,0,0,107,347.25,1,107
2768,37,1,110,107.67,126.67,344.33,344.33,3,0
2769,47,1,0,0,0,377,377,1,377
2770,55,1,0,0,0,197,381,1,197
2771,37,1,0,0,0,0,0,1,0
2772,42,1,0,0,59.6,135.4,201.4,2,0
2773,41,1,30.8,0,0,93.8,163.3,3,0
2774,62,1,0,0,0,0,338,0,0
2775,47,1,0,0,0,479,479,1,479
2776,5,1,0,0,0,0,454,0,0
2777,31,-1,79.8,0,0,79.8,391,1,0
2778,42,1,0,0,56.38,205.38,296.5,6,0
2779,38,-1,0,0,81.33,81.33,320.67,2,0
2780,52,1,0,0,255.5,513.5,513.5,2,258
2781,37,1,0,0,0,452,452,1,452
2782,21,1,0,0,369,369,369,1,0
2783,27,1,0,0,0,0,320,0,0
2784,27,1,0,320,0,320,320,1,0
2785,47,-1,0,0,0,516,516,1,516
2786,39,1,0,37.45,0,37.45,295,1,0
2787,21,1,0,0,0,451,451,1,451
2788,21,1,0,0,0,300,300,1,300
2789,27,1,0,0,0,349,349,1,349
2790,52,1,0,0,0,339,339,1,339
2791,32,1,0,0,77.6,77.6,325,1,0
2792,47,1,0,0,73,73,124.17,3,0
2793,37,1,0,0,0,0,281,0,0
2794,30,1,13.94,0,0,13.94,25.94,1,0
2795,32,1,318,0,0,318,318,1,0
2796,16,1,0,0,464,464,464,1,0
2797,32,-1,0,0,0,394,394,1,394
2798,32,1,278,0,0,278,278,1,0
2799,27,-1,0,0,0,513,513,1,513
2800,32,1,0,0,513,513,513,1,0
2801,47,1,0,0,0,403,403,1,403
2802,41,-1,20.17,0,0,40.33,182.94,2,0
2803,22,1,0,63.29,0,117.29,264.14,2,0
2804,52,1,0,45.25,0,45.25,277.25,1,0
2805,21,1,318,0,0,318,318,1,0
2806,44,1,0,0,0,58.86,353.43,1,58.86
2807,32,1,0,0,384,384,384,1,0
2808,25,1,0,0,0,72,175.75,1,72
2809,26,1,48,46.33,0,94.33,177.67,3,0
2810,65,1,0,0,0,143.67,353.33,1,143.67
