,PARTICIPANT_ID,EVENT_DATE,EVENT_NAME,EVENT_TYPE,TIME,CATEGORY
0,794,2012-10-14,Classique Du Parc La Fontaine,5 KM,00:26:37,F30-39
0,794,2012-09-23,Marathon Oasis de Montreal,Demi-Marathon,01:59:31,F30-34
0,795,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:06:50,M35-39
0,795,2014-08-17,Ironman Mont-Tremblant,Resultats,12:18:07,M35-39
0,795,2014-04-27,Course du Cegep Trois-Rivieres,10 KM,00:44:46,M-SENIOR II
0,795,2013-09-22,Marathon Oasis de Montreal,Marathon,03:59:35,M35-39
0,795,2013-07-28,Triathlon Charlevoix,Triathlon Olympique Individuel,02:49:49,M30-39
0,795,2013-06-30,Triathlon Academie Ste-Therese/Ville de Blainville,Sprint,01:25:15,M30-39
0,795,2013-04-28,Course du Cegep Trois-Rivieres,10 KM,00:47:30,M-SEN II
0,795,2013-03-03,Defi Nordique,Triathlon Nordique Individuel,00:54:24,M35-39
0,797,2016-08-24,Ironman Mont-Tremblant,Overall Results,12:18:00,M40-44
0,797,2016-06-27,Ironman 70.3 Mont-Tremblant,Individuel,05:08:47,M40-44
0,797,2015-08-16,Ironman Mont-Tremblant,Overall,11:27:25,M40-44
0,797,2015-06-21,Ironman 70.3 Mont-Tremblant,Individuel,04:38:50,M40-44
0,797,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,02:43:24,M35-39
0,797,2014-09-21,La course de Fontainebleau,5 km Course,00:16:49,M30-39
0,797,2014-09-07,Ironman Mont-Tremblant 70.3 World Championship,Resultats,04:34:14,M35-39
0,797,2014-06-22,Ironman Mont-Tremblant 70.3,Overall,04:36:16,M35-39
0,797,2013-10-06,Classique Du Parc La Fontaine,10 KM,00:35:23,M30-39
0,797,2013-09-22,Marathon Oasis de Montreal,Marathon,02:41:01,M35-39
0,797,2013-08-18,Ironman Mont-Tremblant,Overall Results,10:53:32,M35-39
0,797,2012-10-20,Cross-Country Saint-Laurent Select,5 KM,00:18:14,M30-39
0,797,2012-09-23,Marathon Oasis de Montreal,Marathon,02:47:34,M35-39
0,797,2012-06-24,Ironman Mont-Tremblant 70.3,Overall 70.3,04:46:43,M35-39
0,798,2016-09-11,Triathlon Esprit de Montreal,Triathlon Sprint,-1,M30-34
0,798,2016-09-03,DÉFI POPULAIRE DE LA VALLÉE DU RICHELIEU,Triathlon D3couverte,00:43:17,Male
0,798,2014-09-21,Army Run - Course de l'Armée,Half Marathon - Demi Marathon,02:20:40,M30-34
0,798,2012-09-23,Marathon Oasis de Montreal,Marathon,04:38:15,M30-34
0,799,2016-05-01,BMO Vancouver Marathon,Marathon,03:59:08,M40-44
0,799,2015-05-03,BMO Vancouver Marathon,Marathon,03:58:53,M40-44
0,799,2015-04-19,Vancouver Sun Run,10 KM,-1,M40-44
0,799,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:24:35,M40-44
0,800,2016-07-10,La Grande Course,10 KM,00:42:00,M30-39
0,801,2014-02-16,Demi Marathon Hypothermique,Demi-Marathon,02:31:34,F20-29
0,801,2013-10-26,Course 10km Apocalypse/ Course des Citrouilles,5 km Course,00:22:39,F25-29
0,801,2013-09-22,Marathon Oasis de Montreal,Marathon,03:31:41,F25-29
0,803,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:39:20,F50-54
0,803,2014-09-07,Coupe Dix30,30 km,02:24:53,F50-59
0,803,2014-03-30,Around the Bay Road Races,30 km,02:24:23,F50-54
0,803,2013-09-22,Marathon Oasis de Montreal,Marathon,03:35:18,F50-54
0,803,2013-08-25,Marathon des Deux Rives Lévis-Québec,Demi-Marathon,01:38:28,F50-59
0,804,2014-08-16,Triathlon Saint-Donat,Triathlon Endurance Aventure Sprint,01:13:28,M20-29
0,804,2014-04-20,Course Printaniere Oka,Demi-Marathon,01:38:02,M 20-29
0,804,2013-09-22,Marathon Oasis de Montreal,Marathon,03:48:33,M18-24
0,804,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,M25-29
0,805,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:32:31,F35-39
0,805,2015-09-13,Demi-Marathon de la Côte-de-Beaupré,DEMI-MARATHON,01:37:41,F30-39
0,805,2015-08-01,RAID VÉLO MAG - VÉLIRIUM,33 KM,02:41:48,MAITRE F30-39
0,805,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:51:34,F30-34
0,805,2014-05-10,Bonjour Printemps,Demi-Marathon,01:40:38,F30-39
0,805,2013-08-25,Vert le Raid - Raid Bras-du-Nord,47 KM,00:59:37,F30-39
0,805,2013-05-12,Bonjour Printemps,Demi-Marathon,01:48:49,F30-39
0,805,2012-10-14,Defi du Tour du Lac Beauport,18 km,01:37:34,F30-39
0,806,2013-10-05,Beauce Run,Demi-Marathon,02:28:07,F30-39
0,806,2013-09-22,Marathon Oasis de Montreal,Marathon,06:15:23,F30-34
0,807,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:43:36,F35-39
0,807,2012-08-26,Marathon des Deux Rives Lévis-Québec,Demi-Marathon,02:37:06,F30-39
0,811,2015-09-20,Army Run - Course de l'Armée,5 KM,00:39:12,M25-29
0,811,2015-05-23,Tamarack Ottawa Race Weekend,Ottawa 5K,-1,M40-44
0,814,2012-09-23,Marathon Oasis de Montreal,Marathon,03:42:14,M25-29
0,815,2016-07-03,Demi-Marathon de Sherbrooke,Demi-Marathon,01:50:17,M40-49
0,815,2015-06-20,Mud Hero Montreal,6km Obstacle Course,01:19:11,M40-44
0,815,2014-06-14,Mud Hero Montreal,6 KM MUD RUN AND OBSTACLE COURSE,01:02:11,M40-44
0,815,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Marathon,-1,M40-44
0,815,2014-05-24,Tamarack Ottawa Race Weekend,HTG Sports 5K,-1,M40-44
0,817,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,5 KM,00:39:08,M18-24
0,818,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:38:40,M25-29
0,820,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:30:40,M40-44
0,820,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Marathon,-1,M35-39
0,820,2014-05-04,Goodlife Fitness Toronto Marathon,Marathon,04:13:15,M35-39
0,821,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,03:10:40,F40-44
0,821,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Half Marathon,-1,F40-44
0,821,2013-09-22,Marathon Oasis de Montreal,Marathon,04:49:17,F40-44
0,821,2012-10-14,Classique Du Parc La Fontaine,10 KM,00:55:52,F30-39
0,821,2012-05-27,Ottawa Race Weekend,Half Marathon,02:27:42,F35-39
0,822,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:44:22,M45-49
0,822,2014-08-30,The Canadian Marathon Half Marathon 8Km and 3Km runs,8 km,00:32:42,M45-49
0,822,2014-08-03,Défi Boréal Sainte-Anne-de-Bellevue,20 KM,01:34:06,M40-49
0,822,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Marathon,-1,M45-49
0,822,2014-05-10,Course de la Fondation hopital Saint Jerome,10 KM,00:39:05,M40-49
0,822,2014-04-26,"Run to end MS Half-Marathon, 5km and 10km",10 KM,00:38:28,M40-49
0,822,2014-02-16,Demi Marathon Hypothermique,Demi-Marathon,01:36:01,M40-49
0,824,2016-05-22,Scotiabank Blue Nose Marathon,Marathon,04:25:45,M60-69
0,824,2015-06-14,Edge to Edge Marathon,Marathon,04:32:27,M51+
0,824,2015-05-31,Saskatchewan Marathon,Marathon,04:31:45,M60-64
0,825,2013-09-22,Marathon Oasis de Montreal,Marathon,03:22:47,M30-34
0,832,2016-09-04,Festival XTERRA Québec,XTERRA court,03:10:42,F30-39
0,832,2016-09-03,Festival XTERRA Québec,SWIMRUN Standard,02:06:13,F30-39
0,834,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:55:31,M55-59
0,834,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,02:00:56,M55-59
0,840,2013-09-22,Marathon Oasis de Montreal,Marathon,04:21:24,M18-24
0,841,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 KM,00:55:18,M50-54
0,841,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,01:46:37,M45-49
0,841,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,10 KM,01:04:12,M50-54
0,841,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,01:42:54,M45-49
0,843,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:58:55,M40-44
0,844,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:01:23,M25-29
0,846,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:01:51,M65-69
0,852,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:25:44,M50-54
0,852,2014-06-08,A votre rythme,Demi-Marathon,02:01:12,M50-59
0,854,2013-09-22,Marathon Oasis de Montreal,Marathon,04:34:28,M30-34
0,854,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,M30-34
0,855,2013-09-22,Marathon Oasis de Montreal,Marathon,03:02:00,M25-29
0,857,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:22:01,M35-39
0,857,2014-06-08,Demi marathon des pompiers de Shawinigan,Demi-Marathon,-1,MALE
0,857,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,01:51:04,M35-39
0,858,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,01:49:57,M40-44
0,858,2013-08-18,Ironman Mont-Tremblant,Overall Results,13:00:37,M40-44
0,861,2015-09-06,30 km sur les rives de Boucherville,30 km,02:37:44,M60-69
0,861,2013-05-12,Defi Gerard Cote de St-Hyacinthe,10 KM,00:42:45,M60-64
0,861,2012-09-23,Marathon Oasis de Montreal,Marathon,03:23:41,M60-64
0,861,2012-06-24,Coupe Dix30 2012,5 KM,00:20:31,M60-69
0,862,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:48:35,M30-34
0,862,2014-09-07,Coupe Dix30,30 km,02:48:54,M30-39
0,862,2014-08-24,Marathon SSQ Lévis-Québec,Demi-Marathon,-1,M30-39
0,862,2014-08-10,Demi Marathon Mont-Tremblant,21 KM,01:59:34,M30-39
0,862,2014-07-02,Coupe Dix30,10 KM,00:52:10,M30-39
0,862,2014-06-15,La Foulee des Parcs,10 KM,00:54:25,M30-39
0,862,2014-05-11,Au rythme de nos foulées Châteauguay,Demi-Marathon,01:57:33,M30-39
0,864,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Marathon,-1,M55-59
0,865,2016-08-28,Marathon SSQ Lévis-Québec,10 km Oasis,-1,M25-29
0,870,2014-10-19,Classique Du Parc La Fontaine,10 KM,00:51:56,M30-39
0,870,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,02:44:58,M30-34
0,870,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Half Marathon,-1,M30-34
0,870,2012-09-23,Marathon Oasis de Montreal,Marathon,04:29:30,M18-24
0,870,2012-06-17,Tour du Lac Brome,20 KM,01:58:46,M-JUN
0,870,2012-06-10,La Grande Viree des Sentiers St-Bruno,10 KM,00:58:38,M-JUN
0,873,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:37:08,F45-49
0,873,2014-09-20,Defi Velo Mag,105km,03:18:51,F45-49
0,873,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,F40-44
0,874,2016-05-28,Tamarack Ottawa Race Weekend,Ottawa 10K,-1,F45-49
0,874,2015-09-26,Wakefield Moonlight River Run,10 KM,00:39:16,F40-49
0,874,2015-09-20,Army Run - Course de l'Armée,1/2 Marathon - Demi-marathon,01:25:11,F45-49
0,874,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Marathon,-1,F45-49
0,874,2015-04-12,Run for Reach,Vittoria Trattoria Half Marathon,01:26:44,F40-49
0,874,2015-03-29,Around the Bay 30K Road Race,30 km,02:07:11,F45-49
0,874,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:08:05,F45-49
0,874,2014-06-21,Sports 4 Emilie's Run,Half Marathon,01:30:06,F40-44
0,874,2014-05-24,Tamarack Ottawa Race Weekend,HTG Sports 5K,-1,F40-44
0,874,2013-10-20,Scotiabank Toronto Waterfront Marathon,Marathon,03:05:29,F40-44
0,874,2013-09-22,Army Run - Course de l'armee,Half Marathon - Demi Marathon,01:29:30,F40-44
0,874,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,F40-44
0,874,2012-10-07,Ottawa Fall Colours Marathon Events,Marathon,03:07:53,F40-44
0,875,2014-05-18,Des Chenes Toi,10 km - Physio Sante,00:52:57,F18+
0,878,2015-10-18,Scotiabank Toronto Waterfront Marathon,Marathon,-1,F35-39
0,878,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:44:49,F35-39
0,878,2014-06-15,Manitoba Marathon,Marathon,-1,F35-39
0,882,2016-04-24,Banque Scotia 21K de Montreal,Demi-Marathon,-1,M40-44
0,882,2015-11-01,Course d'Oka,Demi-Marathon,02:13:44,M40-49
0,882,2015-05-30,DÉFI PHYSIO EXTRA DE TERREBONNE,5 km - Défi des entreprises,-1,M40-49
0,882,2014-05-31,Defi Physio Extra de Terrebonne,Defi Des Entreprises,00:25:21,M40-49
0,882,2013-09-22,Marathon Oasis de Montreal,Marathon,04:36:22,M35-39
0,882,2013-06-01,Defi Physio Extra de Terrebonne,Defi des Entreprises,00:24:13,M30-39
0,883,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:44:18,F35-39
0,883,2015-08-23,Demi-Marathon Bonneville de Lachine,21.1 KM,02:07:09,F40-49
0,885,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,03:05:06,M35-39
0,885,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,02:19:09,M35-39
0,885,2013-06-15,Triathlon FBL Drummondville,Duathlon,01:13:53,M35-39
0,886,2015-07-11,Vert le Raid - Québec Méga Trail,25 KM,02:28:40,M18-29
0,886,2015-02-07,Québec ITU Triathlon Hiver,Triathlon d'hiver - Groupes d'âges,01:50:51,M25-29
0,886,2013-09-07,Ultra-Trail Harricana de Charlevoix,28 KM,02:52:48,M16-29
0,886,2013-08-18,Vert le Raid - XC de la Vallee,10 KM,01:27:57,M16-29
0,886,2013-06-23,Ironman Mont-Tremblant 70.3,70.3 Results,05:18:45,M25-29
0,886,2013-05-12,Bonjour Printemps,10 KM,00:38:51,M20-29
0,886,2013-03-03,Pentathlon des neiges,Defi Longue Distance - Solo,02:28:09,M18-29
0,891,2016-05-01,BMO Vancouver Marathon,Marathon,-1,M40-44
0,891,2016-05-01,BMO Vancouver Marathon,Half Marathon,02:01:44,M40-44
0,892,2016-05-29,Tamarack Ottawa Race Weekend,Ottawa Marathon,-1,F35-39
0,894,2013-09-22,Marathon Oasis de Montreal,Marathon,03:47:27,M50-54
0,894,2013-05-26,Ottawa Race Weekend,Ottawa Half-Marathon - Demi-marathon,-1,M50-54
0,896,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,01:47:22,M35-39
0,898,2016-09-11,Triathlon Esprit de Montreal,Triathlon Olympique,-1,M45-49
0,898,2016-09-11,Triathlon Esprit de Montreal,Triathlon Olympique - Wetsuit,03:03:40,M45-49
0,898,2016-07-03,Demi-Marathon de Sherbrooke,10 KM,00:47:38,M40-49
0,898,2015-06-27,Demi-Marathon de Sherbrooke,10 KM,00:48:23,M40-49
0,898,2015-06-27,Demi-Marathon de Sherbrooke,Demi-Marathon,02:09:50,M40-49
0,898,2014-09-06,Triathlon Esprit de Montreal,Demi Esprit,06:24:33,M45-49
0,898,2014-08-09,Triathlon du Fjord,Triathlon Olympique,03:01:29,M45-49
0,898,2014-07-13,Challenge O2 Merrell,Triathlon Sprint,01:47:24,M45-49
0,898,2014-06-28,Demi Marathon de Sherbrooke,10 KM,00:49:52,M40-49
0,898,2014-05-31,Demi Marathon Generations,10 km - Course,00:50:11,M40-49
0,898,2013-09-22,Marathon Oasis de Montreal,Marathon,05:02:30,M40-44
0,898,2013-09-07,Triathlon Esprit de Montreal,Duathlon Olympique,02:51:14,M40-44
0,898,2013-06-29,Demi Marathon de Sherbrooke,10 KM,00:55:25,M40-49
0,898,2013-06-08,Triathlon / Duathlon Mont-Tremblant,Duathlon Olympique,03:02:59,M40-49
0,899,2014-10-19,Classique Du Parc La Fontaine,10 KM,00:49:05,M30-39
0,899,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:22:32,M25-29
0,900,2014-02-22,Defi Nordique,25km Classique,02:10:23,F40-44
0,900,2013-09-22,Marathon Oasis de Montreal,Marathon,03:48:06,M40-44
0,901,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:44:46,M35-39
0,903,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Marathon,-1,M30-34
0,903,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,02:08:02,M30-34
0,904,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:45:41,F45-49
0,908,2016-07-15,Demi-Marathon de la Bande du Canal,5 KM,-1,M50-59
0,908,2016-07-09,Course d'un soir d' ete de Longueuil,5 KM,00:22:18,M50-59
0,908,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:55:24,M50-54
0,908,2013-09-22,Marathon Oasis de Montreal,Demi-Marathon,01:50:47,M45-49
0,908,2012-08-19,Coupe Dix30 2012,10 KM,00:47:32,M40-49
0,915,2016-07-31,Triathlon de Charlevoix,Triathlon Olympique,03:01:00,F45-49
0,917,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:20:41,F35-39
0,917,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Half Marathon,-1,F30-34
0,918,2016-05-29,Tamarack Ottawa Race Weekend,Ottawa Half Marathon,-1,M50-54
0,918,2015-06-21,Ironman 70.3 Mont-Tremblant,Individuel,06:31:32,M50-54
0,918,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Marathon,-1,M50-54
0,918,2014-08-16,Triathlon Saint-Donat,Triathlon Endurance Aventure Sprint,01:29:28,M40-49
0,918,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Marathon,-1,M45-49
0,918,2013-09-22,Marathon Oasis de Montreal,Marathon,03:40:18,M45-49
0,918,2013-06-08,Triathlon / Duathlon Mont-Tremblant,Duathlon Olympique,02:42:24,M40-49
0,918,2012-06-24,Ironman Mont-Tremblant 70.3,Overall 70.3,06:12:34,M45-49
0,919,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:22:38,F40-44
0,919,2014-05-18,Scotiabank Blue Nose Marathon,GoodLife Fitness 10k,00:57:43,F40-49
0,920,2013-06-15,Mud Hero Montreal,6km,00:49:49,F30-34
0,920,2013-05-26,Ottawa Race Weekend,Ottawa Half-Marathon - Demi-marathon,-1,F30-34
0,920,2012-10-07,Demi marathon des couleurs de Becancour,10 KM,00:59:11,F30-39
0,924,2016-09-10,Ultra-Trail Harricana du Canada (UTHC),uthc65,-1,M50-59
0,924,2015-10-18,Classique du Parc La Fontaine,10 KM,00:41:24,M50-59
0,924,2015-09-19,Ultra-Trail Harricana du Canada (UTHC),65 KM,09:15:17,M50-59
0,924,2014-10-19,Classique Du Parc La Fontaine,10 KM,00:41:22,M50-59
0,924,2014-09-13,The North Face Ultra-Trail Harricana du Canada,65 KM - Valeurs mobilières Desjardins,09:00:13,M50-59
0,924,2013-10-06,Classique Du Parc La Fontaine,10 KM,01:03:22,M50-59
0,926,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:26:43,M50-54
0,926,2014-10-12,Le Cross Des Couleurs,8 km,00:48:27,M50-59
0,926,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:34:31,M50-54
0,926,2014-09-06,Triathlon Esprit de Montreal,Triathlon Olympique,02:39:35,M50-54
0,926,2014-07-05,Triathlon de Gatineau,QC et CFNC Triathlon olympique,02:57:46,M50-54
0,926,2014-04-27,Banque Scotia 21km et 5km,21 KM,02:16:08,M50-54
0,926,2013-09-07,Triathlon Esprit de Montreal,Triathlon Olympique,02:52:20,M50-54
0,926,2013-08-25,Triathlon de Valleyfield,Triathlon Olympique,03:09:35,M50-54
0,926,2013-07-21,Triathlon Verdun,Triathlon Sprint,01:34:53,M50-54
0,926,2013-04-28,Banque Scotia 21km et 5km,21 KM,02:05:37,M45-49
0,926,2013-03-24,Course et marche populaires de LaSalle,10 KM,00:54:35,M50-59
0,926,2013-02-17,Défi Hivernal Ile Bizard,10 KM,00:55:27,M50-59
0,926,2012-09-23,Marathon Oasis de Montreal,10 KM,00:53:28,M45-49
0,926,2012-07-22,Triathlon Trimemphre de Magog,Triathlon Olympique,03:17:57,M45-49
0,927,2014-06-28,Demi Marathon de Sherbrooke,Demi-Marathon,02:07:25,F20-29
0,927,2012-09-23,Marathon Oasis de Montreal,Marathon,04:04:47,F25-29
0,927,2012-06-03,Defi des Escaliers,Sprinteurs,00:22:52,F20-29
0,927,2012-06-03,Defi des Escaliers,19 km,-1,F20-29
0,927,2012-06-03,Defi des Escaliers,Grimpeurs,00:04:33,F20-29
0,928,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 KM,00:37:29,M40-44
0,928,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,01:22:40,M40-44
0,928,2014-08-13,Le 5km Endurance,5 KM,00:17:29,M40-49
0,928,2014-06-15,La Foulee des Parcs,5 KM,00:17:39,M40-49
0,928,2013-10-20,Scotiabank Toronto Waterfront Marathon,Marathon,03:12:15,M40-44
0,928,2013-09-22,Marathon Oasis de Montreal,Marathon,03:02:20,M40-44
0,928,2013-08-25,Marathon des Deux Rives Lévis-Québec,Marathon,03:04:31,M40-49
0,928,2013-06-09,Defi Deux-Montagnes,5k,00:18:48,M40-49
0,928,2013-05-26,Ottawa Race Weekend,Ottawa Half-Marathon - Demi-marathon,-1,M40-44
0,928,2012-10-14,Scotiabank Toronto Waterfront Marathon,Half Marathon,01:32:11,M40-44
0,931,2015-10-04,Classique Emilie-Mondor,10 KM,00:58:54,M50-59
0,931,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:59:46,M55-59
0,932,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:25:05,M18-24
0,933,2016-07-10,Ironman 70.3 Muskoka,Overall,05:56:04,M40-44
0,933,2016-06-05,LexisNexis IRONMAN 70.3 Raleigh,Individual,05:40:57,M40-44
0,933,2015-08-16,Timberman 70.3,Individual,05:18:09,M40-44
0,933,2015-06-21,Ironman 70.3 Mont-Tremblant,Individuel,05:20:02,M40-44
0,933,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Half Marathon,-1,M40-44
0,933,2014-08-17,Ironman 70.3 Timberman,Ironman 70.3,05:10:25,M40-44
0,933,2014-05-31,Defi Physio Extra de Terrebonne,21 KM,01:39:16,M40-49
0,933,2013-11-03,Oka Road Race,Half Marathon,01:34:39,M40-49
0,933,2013-09-07,Triathlon Esprit de Montreal,Demi- Esprit,04:51:45,M40-44
0,933,2013-08-18,Ironman Mont-Tremblant,Overall Results,12:15:20,M40-44
0,933,2013-08-10,La Ruee des Jarrets,10 KM,00:41:28,M40-49
0,933,2013-07-14,Challenge O2 Merrell,Triathlon Olympique,02:44:24,M40-44
0,933,2013-07-06,Triathlon de Gatineau,QC et CFNC Triathlon Olympique,02:29:46,M40-44
0,933,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,M40-44
0,933,2012-09-23,Marathon Oasis de Montreal,Marathon,03:40:51,M40-44
0,933,2012-09-08,Triathlon Esprit de Montreal,Triathlon Demi-Esprit,04:59:23,M40-44
0,933,2012-08-26,Triathlon de Valleyfield,Triathlon Olympique,02:31:56,M40-44
0,933,2012-07-22,Triathlon Trimemphre de Magog,Triathlon Olympique,02:38:11,M40-44
0,933,2012-06-24,Ironman Mont-Tremblant 70.3,Overall 70.3,05:36:36,M40-44
0,936,2016-05-01,Mississauga Marathon Races,Full Marathon,04:37:07,M40-49
0,936,2016-04-03,Around the Bay 30K Road Race,30 km,02:48:29,M40-44
0,936,2015-03-29,Around the Bay 30K Road Race,30 km,02:45:15,M40-44
0,936,2014-03-30,Around the Bay Road Races,30 km,03:51:00,M40-44
0,936,2014-02-17,Tim Hortons Grimsby Half Marathon and Family Day 10K & 3K,Half Marathon,01:48:47,M40-44
0,936,2013-10-20,Scotiabank Toronto Waterfront Marathon,Marathon,04:57:57,M40-44
0,936,2013-05-05,Mississauga Marathon Races,Marathon,03:40:08,M40-49
0,936,2013-03-24,Around the Bay Road Races,30 km,03:43:19,M40-44
0,936,2012-09-23,Marathon Oasis de Montreal,Marathon,04:11:00,M40-44
0,936,2012-05-06,"Goodlife Toronto Marathon, Half Marathon, and 5k",Marathon,03:51:19,M40-44
0,940,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:03:17,M45-49
0,941,2016-04-30,Marathon des Érables,30 km,02:49:04,M40-49
0,941,2015-04-25,Demi-Marathon des Érables,30 km,02:47:43,NO AGE
0,941,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:01:03,M40-44
0,941,2014-09-06,Triathlon Esprit de Montreal,Triathlon Olympique,03:10:11,M40-44
0,941,2014-07-06,Triathlon Saint Lambert,Triathlon Sprint,01:33:57,M40-44
0,941,2014-06-08,La Grande Viree des Sentiers St-Bruno,20 KM,01:48:26,M40-49
0,941,2013-05-26,Ottawa Race Weekend,Ottawa Marathon,-1,M40-44
0,942,2016-07-15,Demi-Marathon de la Bande du Canal,Demi-Marathon,01:58:40,F20-29
0,948,2016-08-14,Demi-marathon de Mont-Tremblant,Demi-Marathon,01:51:23,M50-59
0,948,2016-02-21,Défi Hivernal Ile Bizard,5 KM,00:24:33,M50-59
0,950,2016-05-01,BMO Vancouver Marathon,Half Marathon,02:06:13,F40-44
0,950,2015-05-03,BMO Vancouver Marathon,Marathon,04:37:37,F40-44
0,950,2015-04-19,Vancouver Sun Run,10 KM,-1,F40-44
0,950,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:24:34,F40-44
0,950,2014-04-27,2014 Vancouver Sun Run,10 KM,-1,F40-44
0,950,2012-09-30,Surrey International Music Marathon,Half Marathon,02:01:41,F40-44
0,951,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:21:31,F30-34
0,953,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:39:43,F25-29
0,953,2013-10-13,Demi marathon des couleurs de Becancour,21.1 KM,02:29:20,F20-29
0,953,2013-07-27,Festi-beach du Lac a la Tortue,10 KM,01:01:16,F20-29
0,953,2013-06-09,Demi marathon des pompiers de Shawinigan,5 KM,00:28:10,F20-29
0,955,2016-04-30,Marathon des Érables,Marathon,04:48:18,M50-59
0,956,2014-09-14,Course MEC Quebec #4,21 KM,01:50:22,MALE
